id,slug,title
732,island,
733,isshou-senkin,
734,itaewon-class,
735,ive-always-liked-you,
736,iwa-kakeru-climbing-girls,
737,izetta-the-last-witch,
738,izure-saikyou-no-renkinjutsushi,
739,jagaaan,
740,jahy-sama-wa-kujikenai,
741,jai-perdu-mon-corps,
742,jaku-chara-tomozaki-kun,
743,japan-sinks-2020,
744,jashin-chan-dropkick,
745,je-peux-entendre-l-ocean,
746,je-suis-un-assassin-et-je-surpasse-le-heros,
747,jiisan-baasan-wakagaeru,
748,jin-roh,
749,jingai-kyoushitsu-no-ningen-girai-kyoushi,
750,jirai-te-voir-dans-ma-prochaine-vie,
751,jojos-bizarre-adventure,
752,joker-game,
753,jormungand,
754,josee-le-tigre-et-les-poissons,
755,joshiraku,
756,joujuu-senjin-mushibugyou,
757,joukamachi-no-dandelion,
758,jouran-the-princess-of-snow-and-blood,
759,jujutsu-kaisen,
760,jun-la-voix-du-coeur,
761,jungle-juice,
762,junji-ito-collection,
763,junji-ito-maniac,
764,just-because,
765,juujika-no-rokunin,
766,juuni-taisen,
767,juvenile-detention-center,
768,juvenile-law,
769,k-on,
783,kalli-the-champion,
784,kamen-byoutou,
799,karaoke-iko,
800,karneval,
801,karyuudo-no-kakusei,
802,kasane-la-voleuse-de-visage,
803,katainaka-no-ossan-kensei-ni-naru,
804,katanagatari,
805,katekyo-hitman-reborn,
806,katsugeki-touken-ranbu,
807,katsute-kami-datta-kemono-tachi-e,
808,katsute-mahou-shoujo-to-aku-wa-tekitai-shiteita,
809,kawaii-dake-janai-shikimori-san,
810,kawaisugi-crisis,
811,kaya-chan-wa-kowakunai,
812,keep-your-hands-off-eizouken,
813,kekkai-sensen,
814,kemono-jihen,
815,ken-le-survivant,
816,kengan-ashura,
817,kengan-omega,
818,kenja-no-deshi-wo-nanoru-kenja,
819,kenshin-le-vagabond,
820,kids-on-the-slope,
821,kijin-gentoushou,
822,kikaijikake-no-marie,
823,kiki-la-petite-sorciere,
824,kilari,
825,kill-la-kill,
826,kill-the-dragon,
827,kill-the-hero,
828,killer-peter,
829,killing-killer,
830,killstagram,
831,kim-possible,
832,kimi-ni-todoke,
833,kimi-no-koe-wo-todoketai,
834,kimi-to-koete-koi-ni-naru,
835,kimi-wa-kanata,
836,kimi-wa-maid-sama,
837,kimisen,
838,kindergarten-wars,
839,king-of-violence,
840,kingdom,
841,kings-game,
842,kinos-journey,
843,kiruru-kill-me,
844,kiss-him-not-me,
845,kizetsu-yuusha-to-ansatsu-hime,
846,kiznaiver,
847,kizoku-tensei,
848,kizuna-no-allele,
849,knights-and-magic,
850,kobayashis-dragon-maid,
851,kodocha,
852,koi-to-senkyo-to-chocolate,
853,koi-wa-futago-de-warikirenai,
854,koikimo,
855,kokkoku,
856,kokoro-connect,
857,komi-cant-communicate,
858,kono-healer-mendokusai,
859,kono-oto-tomare,
860,kono-sekai-wa-fukanzen-sugiru,
861,konobi,
862,konohana-kitan,
863,konosuba,
864,koroshi-ai,
865,kotaro-en-solo,
866,koujo-denka-no-kateikyoushi,
867,koukaku-no-regios,
868,kowloon-generic-romance,
869,kpop-demon-hunter,
870,kubikiri-cycle,
871,kubo-wont-let-me-be-invisible,
872,kuchi-ga-saketemo-kimi-ni-wa,
873,kuma-kuma-kuma-bear,
874,kumo-desu-ga-nani-ka,
875,kung-fu-panda,
876,kuramerukagari,
877,kurayukaba,
878,kurogane-no-valhallian,
879,kuroko-no-basket,
880,kuromukuro,
881,kuzu-no-honkai,
882,kyoukai-senki,
883,kyousogiga,
884,kyuujitsu-no-warumono-san,
885,kyuuketsuki-sugu-shinu,
886,l-atelier-des-sorciers,
887,l-ere-des-surhommes,
888,l-expert-de-la-tour-tutoriel,
889,l-imperatrice-remariee,
890,l-oeuf-de-l-ange,
891,la-casa-de-papel,
892,la-chronique-des-bridgerton,
893,la-colline-aux-coquelicots,
894,la-duchesse-dechue,
895,la-fille-des-enfers,
896,la-flamme,
897,la-jacinthe-violette,
898,la-legende-de-korra,
899,la-nuit-des-demons,
900,la-princesse-et-la-bete,
901,la-sorciere-invincible-tueuse-de-slime-depuis-300-ans,
902,la-tortue-rouge,
903,la-tour-au-dela-des-nuages,
904,la-traversee-du-temps,
905,la-voie-du-tablier,
906,lady-georgie,
907,lady-oscar,
908,lance-dur,
909,last-game,
910,latna-saga-survival-of-a-sword-king,
911,lazaro,
912,le-bateau-de-thesee,
913,le-chateau-ambulant,
914,le-chateau-dans-le-ciel,
915,le-chateau-solitaire-dans-le-miroir,
916,le-college-noir,
917,le-conte-de-la-princesse-kaguya,
918,le-flambeau,
919,le-garcon-au-fusil,
920,le-garcon-da-cote,
921,le-garcon-et-la-bete,
922,le-garcon-et-le-heron,
923,le-haut-du-panier,
924,le-healer-rejete-est-invincible-au-combat,
925,le-monde-de-narnia,
926,le-monde-incroyable-de-gumball,
927,le-prix-du-reste-de-ma-vie,
928,le-puissant-dragon-vegan,
929,le-roi-lion,
930,le-royaume-des-chats,
931,le-tombeau-des-lucioles,
932,le-vent-se-leve,
933,le-voyage-de-chihiro,
934,leadale-no-daichi-nite,
935,lecteur-omniscient,
936,left-hand-layup,
937,legend-of-the-northern-blade,
938,legendary-youngest-son-of-the-marquis-house,
939,les-brigades-immunitaires,
940,les-carnets-de-lapothicaire,
941,les-contes-de-terremer,
942,les-enfants-de-la-baleine,
943,les-enfants-de-la-mer,
944,les-enfants-loups,
945,les-fleurs-du-mal,
946,les-intrigues-dune-borgia,
947,les-liens-du-sang,
948,les-memoires-de-vanitas,
949,les-mikails,
950,les-minions,
951,les-murs-vagabonds,
952,les-peches-capitaux-de-la-famille-ichinose,
953,les-quatre-freres-yuzuki,
954,les-simpson,
955,let-this-grieving-soul-retire,
956,lets-make-a-mug-too,
957,lets-play,
958,letter-bee,
959,level-1-dakedo-unique-skill-de-saikyou-desu,
960,level-1-player,
961,level-e,
962,level-up-with-skills,
963,leveling-up-by-only-eating,
964,leveling-up-with-a-sword,
965,leveling-with-the-gods,
966,leviathan,
967,leviathan-animation,
968,liar-game,
969,liar-liar,
970,lightning-degree,
971,lili-men,
973,limit-breaking-genius-mage,
979,logging-10000-years-into-the-future,
999,love-tyrant,
1000,lovely-complex,
1001,loving-yamada-at-lv999,
1002,luca,
1003,luck-and-logic,
1004,lucky-star,
1005,lumine,
1006,lupin,
1007,lycee-post-mortem,
